month,state,category,total_sales
2016-09,RR,furniture_decor,72.89
2016-09,RS,telephony,59.5
2016-10,AL,auto,49.99
2016-10,AL,computers_accessories,32.5
2016-10,BA,fashion_bags_accessories,54.9
2016-10,BA,housewares,169.99
2016-10,BA,telephony,19.99
2016-10,BA,watches_gifts,649.17
2016-10,CE,auto,499.99
2016-10,CE,consoles_games,629.9
2016-10,CE,furniture_decor,119.99
2016-10,CE,health_beauty,129.7
2016-10,CE,perfumery,309.8
2016-10,DF,computers_accessories,35.0
2016-10,DF,furniture_decor,98.0
2016-10,DF,health_beauty,119.8
2016-10,DF,perfumery,39.9
2016-10,DF,toys,101.9
2016-10,DF,watches_gifts,649.17
2016-10,ES,consoles_games,58.0
2016-10,ES,cool_stuff,69.9
2016-10,ES,health_beauty,99.9
2016-10,ES,office_furniture,689.99
2016-10,GO,furniture_decor,49.0
2016-10,GO,health_beauty,49.9
2016-10,GO,market_place,159.8
2016-10,GO,perfumery,589.8
2016-10,GO,sports_leisure,44.9
2016-10,GO,toys,170.89000000000001
2016-10,MA,housewares,19.9
2016-10,MA,market_place,467.40000000000003
2016-10,MA,office_furniture,176.97
2016-10,MA,sports_leisure,39.99
2016-10,MG,air_conditioning,299.99
2016-10,MG,auto,51.5
2016-10,MG,baby,358.98
2016-10,MG,bed_bath_table,169.9
2016-10,MG,computers_accessories,569.79
2016-10,MG,cool_stuff,49.0
2016-10,MG,fashio_female_clothing,54.9
2016-10,MG,fashion_bags_accessories,79.9
2016-10,MG,furniture_decor,584.25
2016-10,MG,garden_tools,380.0
2016-10,MG,health_beauty,683.5500000000001
2016-10,MG,housewares,44.99
2016-10,MG,market_place,58.0
2016-10,MG,office_furniture,129.97
2016-10,MG,perfumery,384.7
2016-10,MG,sports_leisure,149.99
2016-10,MG,telephony,99.69999999999999
2016-10,MG,toys,908.6899999999999
2016-10,MT,auto,279.99
2016-10,MT,furniture_decor,47.8
2016-10,PA,cool_stuff,89.0
2016-10,PA,furniture_decor,368.7
2016-10,PA,toys,629.9
2016-10,PB,toys,49.9
2016-10,PE,books_general_interest,119.5
2016-10,PE,computers_accessories,75.0
2016-10,PE,furniture_decor,49.9
2016-10,PE,health_beauty,75.9
2016-10,PE,perfumery,249.9
2016-10,PE,sports_leisure,798.9
2016-10,PI,health_beauty,210.0
2016-10,PR,baby,79.8
2016-10,PR,bed_bath_table,219.29000000000002
2016-10,PR,computers_accessories,43.89
2016-10,PR,fashion_bags_accessories,49.8
2016-10,PR,furniture_decor,1030.29
2016-10,PR,garden_tools,139.99
2016-10,PR,health_beauty,447.46
2016-10,PR,market_place,94.99
2016-10,PR,sports_leisure,18.9
2016-10,RJ,audio,132.0
2016-10,RJ,auto,10.0
2016-10,RJ,baby,619.88
2016-10,RJ,bed_bath_table,59.9
2016-10,RJ,computers_accessories,38.0
2016-10,RJ,consoles_games,998.99
2016-10,RJ,cool_stuff,226.8
2016-10,RJ,diapers_and_hygiene,134.9
2016-10,RJ,fixed_telephony,6.0
2016-10,RJ,furniture_decor,814.87
2016-10,RJ,garden_tools,590.0
2016-10,RJ,health_beauty,1445.58
2016-10,RJ,housewares,32.99
2016-10,RJ,market_place,311.0
2016-10,RJ,perfumery,2043.8999999999999
2016-10,RJ,pet_shop,109.9
2016-10,RJ,sports_leisure,1783.3899999999999
2016-10,RJ,toys,999.74
2016-10,RJ,watches_gifts,1399.0
2016-10,RN,auto,161.99
2016-10,RN,computers_accessories,18.9
2016-10,RN,furniture_decor,148.0
2016-10,RN,housewares,399.8
2016-10,RR,health_beauty,39.7
2016-10,RS,air_conditioning,357.8
2016-10,RS,auto,390.0
2016-10,RS,computers_accessories,234.0
2016-10,RS,consoles_games,949.99
2016-10,RS,cool_stuff,399.0
2016-10,RS,fashion_bags_accessories,24.9
2016-10,RS,furniture_decor,337.98
2016-10,RS,health_beauty,156.97
2016-10,RS,industry_commerce_and_business,179.8
2016-10,RS,perfumery,249.9
2016-10,RS,pet_shop,99.9
2016-10,RS,sports_leisure,238.09
2016-10,RS,telephony,239.9
2016-10,RS,toys,258.89
2016-10,SC,air_conditioning,599.6
2016-10,SC,fashion_bags_accessories,135.0
2016-10,SC,fixed_telephony,199.0
2016-10,SC,furniture_decor,799.88
2016-10,SC,health_beauty,339.68
2016-10,SC,perfumery,299.9
2016-10,SE,computers_accessories,161.55
2016-10,SE,consoles_games,58.0
2016-10,SE,furniture_decor,65.9
2016-10,SP,air_conditioning,449.70000000000005
2016-10,SP,audio,24.99
2016-10,SP,auto,389.78999999999996
2016-10,SP,baby,571.5
2016-10,SP,bed_bath_table,29.9
2016-10,SP,books_technical,267.0
2016-10,SP,computers_accessories,364.59
2016-10,SP,consoles_games,1187.38
2016-10,SP,cool_stuff,277.3
2016-10,SP,electronics,1306.99
2016-10,SP,fashion_bags_accessories,163.8
2016-10,SP,fashion_male_clothing,24.9
2016-10,SP,fashion_shoes,29.99
2016-10,SP,fixed_telephony,499.88
2016-10,SP,food,79.9
2016-10,SP,furniture_decor,2007.31
2016-10,SP,garden_tools,249.89
2016-10,SP,health_beauty,874.1700000000001
2016-10,SP,housewares,619.4000000000001
2016-10,SP,industry_commerce_and_business,179.8
2016-10,SP,market_place,294.9
2016-10,SP,office_furniture,303.95
2016-10,SP,perfumery,1614.6
2016-10,SP,pet_shop,859.86
2016-10,SP,sports_leisure,259.48
2016-10,SP,telephony,140.49
2016-10,SP,toys,1345.18
2016-10,SP,watches_gifts,662.9
2016-12,PR,fashion_bags_accessories,10.9
2017-01,AC,bed_bath_table,419.70000000000005
2017-01,AC,furniture_decor,169.9
2017-01,AL,garden_tools,129.99
2017-01,AL,telephony,263.98
2017-01,BA,auto,92.1
2017-01,BA,computers_accessories,30.0
2017-01,BA,fashion_bags_accessories,278.0
2017-01,BA,furniture_decor,305.59000000000003
2017-01,BA,garden_tools,194.99
2017-01,BA,health_beauty,1558.8
2017-01,BA,housewares,99.96
2017-01,BA,kitchen_dining_laundry_garden_furniture,110.0
2017-01,BA,office_furniture,119.6
2017-01,BA,perfumery,549.7
2017-01,BA,pet_shop,381.5
2017-01,BA,sports_leisure,159.9
2017-01,BA,toys,214.88
2017-01,CE,bed_bath_table,69.9
2017-01,CE,cool_stuff,219.99
2017-01,CE,fashion_bags_accessories,33.9
2017-01,CE,furniture_decor,126.9
2017-01,CE,garden_tools,155.0
2017-01,CE,health_beauty,129.9
2017-01,CE,telephony,34.9
2017-01,CE,watches_gifts,279.0
2017-01,DF,cool_stuff,907.9
2017-01,DF,fashion_bags_accessories,52.9
2017-01,DF,fashion_underwear_beach,86.25
2017-01,DF,furniture_decor,227.9
2017-01,DF,health_beauty,283.89
2017-01,DF,sports_leisure,260.89
2017-01,DF,telephony,6.9
2017-01,ES,computers_accessories,20.9
2017-01,ES,consoles_games,1454.6599999999999
2017-01,ES,cool_stuff,177.0
2017-01,ES,furniture_decor,116.80000000000001
2017-01,ES,health_beauty,380.87
2017-01,ES,pet_shop,70.83
2017-01,ES,toys,34.9
2017-01,GO,auto,117.3
2017-01,GO,baby,35.0
2017-01,GO,computers_accessories,343.0
2017-01,GO,cool_stuff,389.88
2017-01,GO,fixed_telephony,124.9
2017-01,GO,furniture_living_room,209.99
2017-01,GO,garden_tools,765.0
2017-01,GO,health_beauty,373.79999999999995
2017-01,GO,housewares,152.73
2017-01,GO,sports_leisure,133.8
2017-01,GO,watches_gifts,1299.0
2017-01,MA,auto,47.5
2017-01,MA,computers_accessories,18.0
2017-01,MA,furniture_decor,105.89
2017-01,MA,housewares,63.9
2017-01,MA,perfumery,309.9
2017-01,MA,sports_leisure,72.9
2017-01,MG,auto,1115.98
2017-01,MG,baby,782.69
2017-01,MG,bed_bath_table,609.17
2017-01,MG,computers_accessories,236.70000000000002
2017-01,MG,consoles_games,519.79
2017-01,MG,construction_tools_construction,310.0
2017-01,MG,cool_stuff,640.04
2017-01,MG,fashion_bags_accessories,254.60000000000002
2017-01,MG,fixed_telephony,10.99
2017-01,MG,furniture_decor,2542.16
2017-01,MG,garden_tools,2268.9
2017-01,MG,health_beauty,2065.28
2017-01,MG,housewares,60.0
2017-01,MG,luggage_accessories,294.8
2017-01,MG,office_furniture,239.99
2017-01,MG,perfumery,658.5
2017-01,MG,small_appliances,576.0
2017-01,MG,sports_leisure,924.0
2017-01,MG,stationery,716.49
